model,threshold_type,threshold,fit_seconds,accuracy,precision,recall,f1,roc_auc,pr_auc
GradientBoostingClassifier,f1_tuned,0.39,24.549870599992573,0.7222951297754447,0.6902722740636584,0.7957559681697612,0.7392703128208639,0.8013426973197088,0.7826547431721023
XGBClassifier,f1_tuned,0.38000000000000006,1.5403644000180066,0.7182123067949839,0.6822663172344939,0.8056292366637194,0.7388337049800662,0.8014991500623685,0.7847784936376423
CatBoostClassifier,f1_tuned,0.4,4.739468299958389,0.7241907261592301,0.6951774340309372,0.7880931329207191,0.7387250500725189,0.8016213033454413,0.7829669291429301
Neural Network 2,f1_tuned,0.34,5.557965799991507,0.7095363079615048,0.6660346053567197,0.8281756557618627,0.7383079348397268,0.7998522975534471,0.7808682697618834
Neural Network 1,f1_tuned,0.34,3.3079191999859177,0.7036307961504812,0.6560027519779842,0.8430592396109637,0.7378603211452892,0.7995593805938634,0.7806126641742912
LGBMClassifier,f1_tuned,0.36000000000000004,0.6765504999784753,0.7097550306211724,0.6673427991886409,0.8241968759210139,0.7375222522581921,0.8014443410995136,0.7851277809813578
Logistic Regression,f1_tuned,0.39,0.2399102000053972,0.7113589967920677,0.6721890607869412,0.8131447096964338,0.7359786595531844,0.7949606587537621,0.7732952436411958
SGDClassifier,f1_tuned,0.39,0.25931069999933243,0.7056722076407116,0.6616868603693683,0.8289124668435013,0.7359194086478708,0.793521676280297,0.7714661636575046
ExtraTreesClassifier,f1_tuned,0.36000000000000004,5.147307200008072,0.7048702245552639,0.6607939863753817,0.8290598290598291,0.7354248366013072,0.7984208852024944,0.7817084921661375
Decision Tree Classifier,f1_tuned,0.35000000000000003,0.3186860000132583,0.69750656167979,0.6524453694068678,0.8315649867374005,0.7311953352769679,0.7890582172191368,0.7601533003645438
Random Forest,f1_tuned,0.37000000000000005,8.22577319998527,0.7031204432779236,0.662281750777326,0.8160919540229885,0.7311856350673356,0.7940814613228406,0.7755199218512876
k-Nearest Neighbors,f1_tuned,0.35000000000000003,0.07896500005153939,0.6982356372120152,0.6562020535819663,0.8193339227821986,0.7287502457566026,0.787057620965667,0.7673737640142307
CatBoostClassifier,default_0.50,0.5,4.739468299958389,0.7375328083989501,0.7547984644913628,0.6954022988505747,0.7238840312931432,0.8016213033454413,0.7829669291429301
LGBMClassifier,default_0.50,0.5,0.6765504999784753,0.7370953630796151,0.7543186180422264,0.6949602122015915,0.723423838011965,0.8014443410995136,0.7851277809813578
GradientBoostingClassifier,default_0.50,0.5,24.549870599992573,0.7367308253135024,0.7543662874539336,0.6937813144709697,0.7228064788516159,0.8013426973197088,0.7826547431721023
XGBClassifier,default_0.50,0.5,1.5403644000180066,0.73694954797317,0.755056179775281,0.6931918656056587,0.7228027043638598,0.8014991500623685,0.7847784936376423
Neural Network 2,default_0.50,0.5,5.557965799991507,0.7381160688247302,0.7605220228384992,0.6870026525198939,0.7218953236296067,0.7998522975534471,0.7808682697618834
Neural Network 1,default_0.50,0.5,3.3079191999859177,0.7352726742490522,0.7516350295102887,0.6943707633362806,0.7218690157027958,0.7995593805938634,0.7806126641742912
ExtraTreesClassifier,default_0.50,0.5,5.147307200008072,0.7360746573344998,0.7548293625241468,0.6909814323607427,0.7214956147099554,0.7984208852024944,0.7817084921661375
Decision Tree Classifier,default_0.50,0.5,0.3186860000132583,0.7267424905220181,0.7302212791755077,0.7099911582670203,0.719964136282128,0.7890582172191368,0.7601533003645438
Random Forest,default_0.50,0.5,8.22577319998527,0.7300233304170312,0.7407465250663752,0.6989389920424404,0.719235726741982,0.7940814613228406,0.7755199218512876
SGDClassifier,default_0.50,0.5,0.25931069999933243,0.7305336832895888,0.748792270531401,0.6852343059239611,0.7156048014773777,0.793521676280297,0.7714661636575046
Logistic Regression,default_0.50,0.5,0.2399102000053972,0.7294400699912511,0.7509384690713237,0.6780135573239021,0.7126151939905522,0.7949606587537621,0.7732952436411958
k-Nearest Neighbors,default_0.50,0.5,0.07896500005153939,0.726450860309128,0.7467469095640858,0.6765399351606248,0.709911860213391,0.787057620965667,0.7673737640142307
Naive Bayes,f1_tuned,0.2,0.09397420001914725,0.7157334499854184,0.7328601387320536,0.6694665487768936,0.6997304582210243,0.781975846631019,0.7585719471514221
Naive Bayes,default_0.50,0.5,0.09397420001914725,0.7177019539224264,0.7494008901061281,0.6451517830828176,0.6933797909407665,0.781975846631019,0.7585719471514221
