model,seed,test_size,test_count,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic C=0.05,97,0.1,31,0.4,0.967741935483871,0.9333333333333333,1.0,0.9655172413793104,1.0,0.9999999999999998
Logistic C=0.05,97,0.1,31,0.45,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,1.0,0.9999999999999998
Logistic C=0.1,97,0.1,31,0.4,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,1.0,0.9999999999999998
Logistic C=0.25,27,0.1,31,0.55,0.967741935483871,0.9333333333333333,1.0,0.9655172413793104,0.9915966386554622,0.9901360544217686
Logistic C=0.25,27,0.1,31,0.6,0.967741935483871,0.9333333333333333,1.0,0.9655172413793104,0.9915966386554622,0.9901360544217686
Logistic C=0.1,27,0.1,31,0.6,0.967741935483871,0.9333333333333333,1.0,0.9655172413793104,0.9873949579831932,0.9846415489272631
Logistic C=0.1,39,0.1,31,0.5,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9831932773109243,0.984126984126984
Logistic C=0.1,39,0.1,31,0.45,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9831932773109243,0.984126984126984
Logistic C=0.1,39,0.1,31,0.55,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9831932773109243,0.984126984126984
Logistic C=0.05,39,0.1,31,0.5,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9789915966386554,0.9812030075187967
Logistic C=0.05,39,0.1,31,0.45,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9789915966386554,0.9812030075187967
Logistic C=0.25,39,0.1,31,0.5,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9789915966386554,0.9812030075187967
Logistic C=0.25,39,0.1,31,0.45,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9789915966386554,0.9812030075187967
Logistic C=0.25,39,0.1,31,0.55,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9789915966386554,0.9812030075187967
Logistic C=0.25,39,0.1,31,0.6,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9789915966386554,0.9812030075187967
Logistic C=0.1,80,0.1,31,0.5,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9621848739495799,0.9720496894409936
Logistic C=0.1,80,0.1,31,0.45,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9621848739495799,0.9720496894409936
Logistic C=0.1,80,0.1,31,0.55,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9621848739495799,0.9720496894409936
Logistic C=0.25,80,0.1,31,0.5,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9621848739495799,0.9720496894409936
Logistic C=0.25,80,0.1,31,0.4,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9621848739495799,0.9720496894409936
Logistic C=0.25,80,0.1,31,0.45,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9621848739495799,0.9720496894409936
Logistic C=0.25,80,0.1,31,0.55,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9621848739495799,0.9720496894409936
Logistic C=0.25,80,0.1,31,0.6,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9621848739495799,0.9720496894409936
Logistic C=0.1,20,0.1,31,0.45,0.967741935483871,0.9333333333333333,1.0,0.9655172413793104,0.957983193277311,0.9260788814360241
Logistic C=0.25,20,0.1,31,0.45,0.967741935483871,0.9333333333333333,1.0,0.9655172413793104,0.957983193277311,0.9260788814360241
Logistic C=0.05,80,0.1,31,0.5,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.957983193277311,0.9702380952380951
Logistic C=0.05,80,0.1,31,0.45,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.957983193277311,0.9702380952380951
Logistic C=0.25,15,0.1,31,0.5,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.957983193277311,0.9702380952380951
Logistic C=0.25,15,0.1,31,0.55,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.957983193277311,0.9702380952380951
Logistic C=0.05,15,0.1,31,0.5,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9537815126050421,0.9685714285714284
Logistic C=0.1,15,0.1,31,0.5,0.967741935483871,1.0,0.9285714285714286,0.9629629629629629,0.9537815126050421,0.9685714285714284
Logistic C=0.05,20,0.1,31,0.5,0.967741935483871,0.9333333333333333,1.0,0.9655172413793104,0.9453781512605042,0.8701265004836434
Logistic C=0.05,20,0.1,31,0.45,0.967741935483871,0.9333333333333333,1.0,0.9655172413793104,0.9453781512605042,0.8701265004836434
Logistic C=0.1,97,0.1,31,0.35,0.9354838709677419,0.875,1.0,0.9333333333333333,1.0,0.9999999999999998
Logistic C=0.05,97,0.1,31,0.5,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,1.0,0.9999999999999998
Logistic C=0.05,97,0.1,31,0.55,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,1.0,0.9999999999999998
Logistic C=0.1,97,0.1,31,0.5,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,1.0,0.9999999999999998
Logistic C=0.1,97,0.1,31,0.45,0.9354838709677419,1.0,0.8571428571428571,0.9230769230769231,1.0,0.9999999999999998
Logistic C=0.05,0,0.1,31,0.4,0.9354838709677419,0.875,1.0,0.9333333333333333,0.9915966386554622,0.9901360544217686
