model,accuracy,accuracy_std,precision,recall,f1,roc_auc,roc_auc_std,pr_auc
Logistic Regression,0.8517419354838709,0.059797569642781115,0.859183704367528,0.8174175824175824,0.8341807203098203,0.9158411441499678,0.050541493760238664,0.9166720181242972
Soft Voting Hybrid,0.8448602150537634,0.06370295413914397,0.8604525409231293,0.7987362637362638,0.824359624716178,0.915249474789916,0.05076135895970625,0.9174509079189609
Stacking Hybrid,0.8448387096774195,0.0625746403652016,0.8506691266250089,0.8123626373626375,0.82686520075954,0.9153223981900453,0.05078184916773162,0.9172126038789672
SVC RBF,0.8439247311827957,0.06753088389619326,0.8360077097395208,0.8315934065934067,0.8296825949305092,0.9042428894634778,0.05441580842189117,0.9046727524753337
Optimized CatBoost,0.8411935483870967,0.06622777748656902,0.8615113467543809,0.7885164835164835,0.8188022509486166,0.912804823852618,0.04999425502102772,0.9144768459250899
Extra Trees,0.8392580645161292,0.07004986331661454,0.8332300735899807,0.8221978021978021,0.8237134890436059,0.9136546541693601,0.05111311584105811,0.9131757444150734
ANOVA SelectKBest + XGBoost,0.8349139784946238,0.06484833021228488,0.872653617624206,0.7547252747252748,0.8053410836176517,0.903627383645766,0.05479663514713034,0.9089403724300377
Optimized XGBoost,0.8332688172043011,0.06692264764426772,0.8629980492074145,0.7654945054945057,0.8064230650704316,0.9060197155785391,0.05363329043739133,0.9098297703870126
MI SelectKBest + XGBoost,0.8269784946236558,0.06719012237526338,0.8619097569097569,0.7496703296703298,0.7969542234321842,0.90296743697479,0.054770518585230354,0.9058960583327056
Random Forest,0.8228602150537633,0.06992317274491504,0.8195545556095092,0.7987912087912089,0.80449541351888,0.9137899967679379,0.050084659505763796,0.9132782949418088
