task,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
Binary prediction,CatBoost,0.8406593406593406,0.835672805707649,0.8666584967320261,0.7774680603948896,0.8167481645765214,0.9002133257484178
Binary prediction,Stacking Hybrid,0.8296459096459096,0.827061556329849,0.8303937728937729,0.7969802555168408,0.8107673985987238,0.8927303325511389
Binary prediction,Soft Voting Hybrid,0.8097924297924297,0.8030695204911232,0.8460447454844007,0.7245063879210221,0.7751525285656098,0.8878190997653416
Binary prediction,LightGBM,0.8074481074481075,0.8016509042641445,0.8325352526439482,0.7339140534262485,0.776733127418059,0.8835857688022944
Binary prediction,Extra Trees,0.8053724053724054,0.7965488634478181,0.8621658896658897,0.6910569105691057,0.7633621086108262,0.8742053615871436
Binary prediction,Random Forest,0.8054456654456654,0.800298656047785,0.820263535452692,0.7393728222996516,0.7770251092001892,0.8735594586266562
Binary prediction,XGBoost,0.7876434676434677,0.780446324871412,0.814619841213075,0.6955865272938444,0.7474038593397981,0.86706487473038
Binary prediction,SVC RBF,0.7965079365079364,0.7867927658868425,0.8573818245090866,0.6715447154471545,0.7493325247618812,0.8583398516200905
Binary prediction,MI SelectKBest + XGBoost,0.7767765567765568,0.7709308113489298,0.7916291291291291,0.7010452961672474,0.7422721422721422,0.8394297091658963
Binary prediction,ANOVA SelectKBest + XGBoost,0.7523565323565323,0.7442757590841216,0.7754104718810602,0.6477351916376307,0.7046458739441196,0.7939320676005593
Binary prediction,Logistic Regression,0.7214896214896215,0.7160444665671146,0.7178485729956318,0.6524970963995355,0.6806900584795322,0.788025314655479
