model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
CatBoost Conservative,0.8208058608058607,0.8150904264144682,0.850362541993281,0.7485481997677119,0.7923318087179089,0.8982554694351608
CatBoost Deep,0.8407081807081805,0.8360710137713621,0.8640325616412573,0.7823461091753774,0.8184376447534343,0.897395055583209
Advanced Stacking Hybrid,0.823028083028083,0.8205408992865438,0.8211112498855112,0.792102206736353,0.8033035363481733,0.8914243049136031
Advanced Soft Voting Hybrid,0.823076923076923,0.817247386759582,0.8529160021265284,0.748780487804878,0.7946376020625372,0.8897532532176633
Extra Trees Tuned,0.8119902319902319,0.8034677285548366,0.8707756103545577,0.7008130081300813,0.7717838122775461,0.8697598900187252
Random Forest Tuned,0.7877411477411478,0.7802223328355733,0.8185931093632333,0.6910569105691058,0.7487496533747434,0.8696413757140486
LightGBM Regularized,0.7898168498168499,0.7850423096067696,0.7937863216635594,0.7292682926829268,0.7579835953520163,0.8531038896394796
SVC Tuned RBF,0.7920879120879121,0.7823709971793595,0.8511216382184124,0.6667828106852498,0.7452198575386981,0.8522102917822181
XGBoost Regularized,0.7788766788766789,0.7672307947569272,0.8513247625566869,0.6283391405342625,0.7213133638677555,0.8449358837611699
Logistic L2,0.7657387057387057,0.7606686577069853,0.7711438259514332,0.7009291521486645,0.7299944668552263,0.8278058261632179
Logistic L1,0.7656898656898656,0.7569188651070184,0.7999338624338624,0.6526132404181185,0.7152956434076148,0.8254592429306216
MI-60 + XGBoost Regularized,0.7590720390720391,0.7485813837730214,0.8110546098046099,0.6236933797909409,0.7037401735265492,0.8218801109293892
ANOVA-70 + XGBoost Regularized,0.7456898656898657,0.7351999336319894,0.7917720306513409,0.6091753774680605,0.6867452355994592,0.7943658299556756
