model,best_threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
CatBoost Deep,0.49000000000000005,0.8451327433628318,0.841407867494824,0.8549222797927462,0.7971014492753623,0.825,0.8943705018239181
CatBoost Conservative,0.38000000000000006,0.8296460176991151,0.8323671497584542,0.7850877192982456,0.8647342995169082,0.8229885057471265,0.8942916296953564
Advanced Stacking Hybrid,0.4700000000000001,0.831858407079646,0.8306615399783102,0.8164251207729468,0.8164251207729468,0.8164251207729468,0.8875480627033422
Advanced Soft Voting Hybrid,0.41500000000000004,0.8296460176991151,0.8301192940944494,0.8009259259259259,0.8357487922705314,0.817966903073286,0.8880212954747116
Extra Trees Tuned,0.49000000000000005,0.8163716814159292,0.8092576160899142,0.8522727272727273,0.7246376811594203,0.783289817232376,0.8691511387163561
Random Forest Tuned,0.44500000000000006,0.7986725663716814,0.7985507246376812,0.7710280373831776,0.7971014492753623,0.7838479809976246,0.8694863452627428
LightGBM Regularized,0.5250000000000001,0.7964601769911505,0.7908902691511387,0.8108108108108109,0.7246376811594203,0.7653061224489796,0.8522133491077589
SVC Tuned RBF,0.5450000000000002,0.7964601769911505,0.7871438430444642,0.8484848484848485,0.6763285024154589,0.7526881720430108,0.8488021295474713
XGBoost Regularized,0.37000000000000005,0.7809734513274337,0.7818495514147688,0.7454545454545455,0.7922705314009661,0.7681498829039812,0.844819087055112
MI-60 + XGBoost Regularized,0.42500000000000004,0.7787610619469026,0.7756876663708961,0.7688442211055276,0.7391304347826086,0.7536945812807881,0.8181011535048803
Logistic L1,0.4700000000000001,0.7721238938053098,0.7680666469486346,0.7680412371134021,0.7198067632850241,0.743142144638404,0.822360248447205
Logistic L2,0.4700000000000001,0.7699115044247787,0.7667751158434388,0.7587939698492462,0.7294685990338164,0.7438423645320197,0.8270334220644779
ANOVA-70 + XGBoost Regularized,0.4,0.7632743362831859,0.7617765946958494,0.7403846153846154,0.7439613526570048,0.7421686746987952,0.7924282756580893
