feature,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha
feature_278,234.0,5.0,0.06090356952036125,0.9532826364619471,0.8402060721927739,1.0,4.3274481160743345,0.3977176254151471
feature_249,,,,,,,,
feature_251,,,,,,,,
feature_216,,,,,,,,
feature_206,,,,,,,,
feature_218,,,,,,,,
feature_225,,,,,,,,
feature_065,,,,,,,,
feature_233,,,,,,,,
feature_227,,,,,,,,
feature_266,,,,,,,,
feature_014,,,,,,,,
feature_017,,,,,,,,
feature_162,,,,,,,,
feature_259,,,,,,,,
feature_116,,,,,,,,
feature_222,,,,,,,,
feature_128,,,,,,,,
feature_140,,,,,,,,
feature_242,,,,,,,,
feature_003,,,,,,,,
feature_064,,,,,,,,
feature_239,,,,,,,,
feature_141,,,,,,,,
feature_029,,,,,,,,
feature_168,,,,,,,,
feature_229,,,,,,,,
feature_089,,,,,,,,
feature_176,,,,,,,,
feature_015,,,,,,,,
feature_232,,,,,,,,
feature_246,,,,,,,,
feature_244,,,,,,,,
feature_100,,,,,,,,
feature_153,,,,,,,,
feature_085,,,,,,,,
feature_224,,,,,,,,
feature_183,,,,,,,,
feature_001,,,,,,,,
feature_223,,,,,,,,
feature_255,,,,,,,,
feature_203,,,,,,,,
feature_195,,,,,,,,
feature_167,,,,,,,,
feature_098,,,,,,,,
feature_102,,,,,,,,
feature_197,,,,,,,,
feature_226,,,,,,,,
feature_217,,,,,,,,
feature_055,,,,,,,,
feature_136,,,,,,,,
feature_208,,,,,,,,
feature_248,,,,,,,,
feature_047,,,,,,,,
feature_148,,,,,,,,
feature_020,,,,,,,,
feature_253,,,,,,,,
feature_039,,,,,,,,
