model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
SMOTE + ExtraTrees-SFM + CatBoost,0.823052503052503,0.8186660029865604,0.838054404224617,0.7679442508710801,0.7985652562431589,0.8909597288392709
SMOTE + ExtraTrees-SFM + SMOTE Feature Voting Hybrid,0.8075946275946275,0.8021652563464411,0.8292913032904634,0.7390243902439024,0.77807733727862,0.8869539453412028
SMOTE + ExtraTrees-SFM + Random Forest,0.8075946275946275,0.8014849842375973,0.8356913524355385,0.7295005807200929,0.7759700252798846,0.87930740240347
SMOTE + ExtraTrees-SFM + Extra Trees,0.8098168498168498,0.8033018085282894,0.8421024739910189,0.7249709639953542,0.7756643019427829,0.8775213918319942
SMOTE + MI-96 + Random Forest,0.8032722832722833,0.8001327360212377,0.8011126310989513,0.7635307781649245,0.7800200993535781,0.8664177866268459
SMOTE + MI-96 + Extra Trees,0.7877655677655678,0.7795420607267298,0.8308791667023374,0.6815331010452962,0.7458227851824155,0.863068572376686
SMOTE + MI-96 + SMOTE Feature Voting Hybrid,0.7988766788766789,0.7942342790774847,0.8111794968316707,0.7394889663182347,0.7712313781085711,0.8596103249662234
SMOTE + ExtraTrees-SFM + XGBoost,0.7854456654456655,0.77982412477186,0.8007231478199219,0.7147502903600464,0.7526016411497356,0.8562184455663798
SMOTE + MI-96 + CatBoost,0.7856166056166056,0.7814750290360045,0.7961429681429681,0.7343786295005806,0.7606598963120703,0.8526061295598379
SMOTE + ANOVA-96 + Extra Trees,0.8031746031746032,0.7975194956031192,0.8266666666666665,0.729732868757259,0.7705441066965567,0.8504396880703501
SMOTE + MI-64 + Extra Trees,0.7945054945054946,0.7872573419611747,0.8260949576739052,0.7010452961672472,0.757434497788928,0.8500568868662446
SMOTE + MI-64 + Random Forest,0.7923321123321123,0.7892483822797411,0.7886615064666576,0.7540069686411149,0.7694190556275009,0.8459408850648273
SMOTE + MI-64 + SMOTE Feature Voting Hybrid,0.7812698412698412,0.7772855483656878,0.7833499044193333,0.7300813008130081,0.7534157662302545,0.8439024390243903
SMOTE + MI-64 + CatBoost,0.7790964590964591,0.7764974282395886,0.7682653220762977,0.7448315911730546,0.7534977660587417,0.8363649292469602
SMOTE + ANOVA-96 + Random Forest,0.7833455433455433,0.7795503567280571,0.7814957264957265,0.7346109175377468,0.7563366966080144,0.8363127829529023
SMOTE + ANOVA-96 + SMOTE Feature Voting Hybrid,0.7877167277167276,0.7821553011448481,0.8044009892104265,0.7153310104529617,0.7537562686127144,0.8354594799592311
SMOTE + MI-96 + XGBoost,0.7678876678876679,0.7636718101874896,0.7698260073260074,0.7150987224157956,0.7393271932745616,0.8284197302614427
SMOTE + ANOVA-96 + CatBoost,0.7699633699633699,0.7661108345777334,0.7701557561313659,0.7199767711962833,0.7399374609130707,0.8225509018938586
SMOTE + MI-64 + XGBoost,0.756971916971917,0.7533018085282894,0.7527182363688524,0.71068524970964,0.7297361129838731,0.8174050107848018
SMOTE + ANOVA-96 + XGBoost,0.7545787545787546,0.7493860959017754,0.7587216867311282,0.6865272938443668,0.7187578097367606,0.8042428121074214
