model,best_threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
SMOTE + ExtraTrees-SFM + CatBoost,0.41500000000000004,0.827433628318584,0.8269545499359163,0.8056872037914692,0.821256038647343,0.8133971291866029,0.8847875382036873
SMOTE + ExtraTrees-SFM + SMOTE Feature Voting Hybrid,0.44500000000000006,0.8185840707964602,0.8172927141871241,0.8019323671497585,0.8019323671497585,0.8019323671497585,0.8853987972000394
SMOTE + ExtraTrees-SFM + Extra Trees,0.4750000000000001,0.8185840707964602,0.8150448585231194,0.8205128205128205,0.7729468599033816,0.7960199004975125,0.8746623286995958
SMOTE + ExtraTrees-SFM + Random Forest,0.5050000000000001,0.8119469026548672,0.8055506260475205,0.8388888888888889,0.7294685990338164,0.7803617571059431,0.8764073745440205
SMOTE + MI-96 + Random Forest,0.48500000000000004,0.8053097345132744,0.8035492457852706,0.7902439024390244,0.782608695652174,0.7864077669902912,0.8636498077491866
SMOTE + MI-96 + SMOTE Feature Voting Hybrid,0.4650000000000001,0.8030973451327433,0.80150842945874,0.7864077669902912,0.782608695652174,0.784503631961259,0.8587991718426501
SMOTE + ANOVA-96 + Extra Trees,0.5150000000000001,0.8075221238938053,0.8007197081731243,0.8370786516853933,0.7198067632850241,0.7740259740259741,0.8483091787439614
SMOTE + MI-96 + Extra Trees,0.4650000000000001,0.8030973451327433,0.7992605737947354,0.8041237113402062,0.7536231884057971,0.7780548628428927,0.8632850241545893
SMOTE + MI-64 + Extra Trees,0.5050000000000001,0.7986725663716814,0.791057872424332,0.8333333333333334,0.7004830917874396,0.7611548556430446,0.8474120082815735
SMOTE + ExtraTrees-SFM + XGBoost,0.4,0.7876106194690266,0.7902198560583653,0.74235807860262,0.821256038647343,0.7798165137614679,0.8532386867790593
SMOTE + MI-64 + Random Forest,0.5,0.7920353982300885,0.7890564921620822,0.7839195979899497,0.7536231884057971,0.7684729064039408,0.8413289953662625
SMOTE + MI-96 + CatBoost,0.41500000000000004,0.7898230088495575,0.788888888888889,0.7666666666666667,0.7777777777777778,0.7721822541966427,0.8513851917578626
SMOTE + ANOVA-96 + SMOTE Feature Voting Hybrid,0.48500000000000004,0.7920353982300885,0.787183279108745,0.798941798941799,0.7294685990338164,0.7626262626262627,0.8337375529922113
SMOTE + MI-64 + SMOTE Feature Voting Hybrid,0.4650000000000001,0.7876106194690266,0.7857241447303559,0.7707317073170732,0.7632850241545893,0.7669902912621359,0.8403233757271025
SMOTE + MI-96 + XGBoost,0.54,0.7920353982300885,0.7853100660554078,0.8156424581005587,0.7053140096618358,0.7564766839378239,0.8281967859607611
SMOTE + ANOVA-96 + Random Forest,0.49500000000000005,0.7876106194690266,0.784225574287686,0.7817258883248731,0.7439613526570048,0.7623762376237624,0.8334023464458247
SMOTE + MI-64 + CatBoost,0.5050000000000001,0.7809734513274337,0.7781031253080942,0.77,0.7439613526570048,0.7567567567567568,0.8309967465246968
SMOTE + ANOVA-96 + CatBoost,0.5350000000000001,0.7831858407079646,0.7778960859706201,0.7914438502673797,0.714975845410628,0.751269035532995,0.8221433500936608
SMOTE + MI-64 + XGBoost,0.45000000000000007,0.7610619469026548,0.7619836340333235,0.7239819004524887,0.7729468599033816,0.7476635514018691,0.8124223602484473
SMOTE + ANOVA-96 + XGBoost,0.45500000000000007,0.7632743362831859,0.7617765946958494,0.7403846153846154,0.7439613526570048,0.7421686746987952,0.7998028196785962
